编号,性别,年龄,参数1,参数2,参数3,入股时间,参数4,股票,参数5,参数6
259670,Female,27,1,46,1,1-2 Year,No,19122,868,2482
488699,Female,48,1,35,0,> 2 Years,Yes,18788.5,854,1853
319711,Male,32,1,35,1,1-2 Year,No,12289,182,1071
415880,Male,21,1,57,1,1-2 Year,No,20253.5,56,2193
526644,Female,17,1,17,0,< 1 Year,Yes,18391.5,1064,3417
627652,Male,26,1,15,1,< 1 Year,No,27990,1064,4658
204822,Male,43,1,25,0,1-2 Year,Yes,18050,182,1564
300986,Male,48,1,54,0,1-2 Year,Yes,10928.5,182,1479
321964,Male,53,1,35,1,1-2 Year,Yes,18863,854,3638
474575,Male,37,1,42,1,1-2 Year,No,14466,182,204
469744,Male,42,1,35,0,1-2 Year,Yes,18749,182,782
274704,Female,16,1,42,1,< 1 Year,No,17430.5,1064,1853
535313,Female,18,1,54,1,< 1 Year,No,12862,1064,1547
542188,Male,38,1,10,0,1-2 Year,Yes,10607,182,527
311037,Female,16,1,19,1,< 1 Year,No,16767.5,182,357
258452,Female,15,1,22,1,< 1 Year,No,14263.5,1064,1054
529583,Male,27,1,43,1,1-2 Year,No,15775.5,182,306
323303,Male,50,1,15,0,1-2 Year,Yes,17589.5,182,3281
337363,Male,15,1,53,1,< 1 Year,No,10991,1064,1224
324999,Female,17,1,16,0,< 1 Year,Yes,21650,1057,2159
662086,Female,40,1,35,0,1-2 Year,Yes,1315,182,1785
672390,Female,53,1,35,1,1-2 Year,No,18853.5,182,3009
499889,Female,33,1,35,0,1-2 Year,Yes,1315,1092,1955
491751,Female,16,1,25,0,< 1 Year,Yes,18152,1064,2720
568769,Female,13,1,53,1,< 1 Year,Yes,16952,1120,2176
556683,Female,41,1,8,0,1-2 Year,Yes,1315,182,2941
436610,Male,42,1,36,0,1-2 Year,Yes,22737.5,1078,3264
346918,Female,24,1,37,1,< 1 Year,No,13487.5,1064,4726
449522,Male,42,1,35,0,1-2 Year,Yes,24318,868,1717
536111,Female,16,1,17,1,< 1 Year,No,13930.5,1064,2380
421674,Male,60,1,57,0,1-2 Year,Yes,14620,56,3757
570311,Female,34,1,14,1,1-2 Year,No,1315,1092,1785
